time,open,high,low,close,volume,ticker
2025-08-01,53000,54900,52000,52000,3947500,VIC
2025-08-04,53100,55600,52500,55600,3877600,VIC
2025-08-05,58800,59450,57300,58750,8377700,VIC
2025-08-06,58750,60000,57500,59250,4212200,VIC
2025-08-07,59250,61000,57500,57500,4140100,VIC
2025-08-08,57450,58800,56600,58500,3217500,VIC
2025-08-11,58500,59450,57500,57750,3280300,VIC
2025-08-12,57750,58400,57250,57750,2958100,VIC
2025-08-13,57500,58250,57000,58000,4109600,VIC
2025-08-14,58200,59400,57600,59100,4312200,VIC
2025-08-15,59600,63000,58950,59100,5258600,VIC
2025-08-18,59100,59250,58000,59100,3592000,VIC
2025-08-19,59100,60550,58250,59100,5290800,VIC
2025-08-20,59300,63000,58950,62100,7458200,VIC
2025-08-21,61100,63400,61000,62500,4069100,VIC
2025-08-22,61000,63750,61000,62050,5032500,VIC
2025-08-25,62000,66300,61750,65500,3813100,VIC
2025-08-26,65500,69950,64500,67750,2595000,VIC
2025-08-27,66600,67800,66000,66000,2351500,VIC
2025-08-28,66100,67000,65000,65050,2178800,VIC
2025-08-29,65550,66250,64050,64150,2470800,VIC
2025-09-03,63550,64099,62250,62500,2287100,VIC
2025-09-04,62500,63000,61500,62500,1988700,VIC
2025-09-05,62600,64900,62500,62500,2141000,VIC
2025-09-08,62550,64000,62500,62500,2203500,VIC
2025-09-09,62500,64800,62050,64599,2659700,VIC
2025-09-10,64599,65500,63500,65450,1985100,VIC
2025-09-11,65000,68750,64550,68000,3017000,VIC
2025-09-12,68000,69050,67050,68900,1964200,VIC
2025-09-15,68850,68900,67400,68900,2142000,VIC
2025-09-16,68900,68900,66950,67500,2920100,VIC
2025-09-17,66750,71950,66700,71550,3984900,VIC
2025-09-18,71750,74950,70750,72500,4389200,VIC
2025-09-19,72500,76600,71500,76600,5615300,VIC
2025-09-22,74850,77100,71950,74400,5112200,VIC
2025-09-23,74000,75050,72800,74600,1426200,VIC
2025-09-24,74500,76000,72800,74500,1753900,VIC
2025-09-25,74500,79000,73450,79000,2820700,VIC
2025-09-26,79000,82450,78000,82000,2709300,VIC
2025-09-29,81150,87400,80500,86400,2445600,VIC
2025-09-30,86750,91500,86750,87450,4674600,VIC
2025-10-01,87450,87500,83900,85000,2643100,VIC
2025-10-02,84400,87850,84400,85500,2381100,VIC
2025-10-03,86000,89650,85550,88250,4892400,VIC
2025-10-06,93400,93400,88250,89850,2398200,VIC
2025-10-07,90550,91000,89000,90000,2368100,VIC
2025-10-08,89500,90450,87600,89050,3256600,VIC
2025-10-09,88500,90800,88150,89750,4131300,VIC
2025-10-10,89250,96000,89250,96000,4294700,VIC
2025-10-13,96950,102700,96950,102700,7178300,VIC
2025-10-14,107950,109850,103450,105950,8065500,VIC
2025-10-15,107050,107450,103000,104750,3752400,VIC
2025-10-16,105000,108800,102950,106550,5217400,VIC
2025-10-17,107050,107300,99950,102000,5615100,VIC
2025-10-20,100000,102250,95000,97450,5671000,VIC
2025-10-21,101000,102450,96850,101700,3700400,VIC
2025-10-22,102000,102000,96500,101500,4196300,VIC
2025-10-23,101450,107750,100000,107500,4761200,VIC
2025-10-24,107700,111450,107550,109500,3412900,VIC
2025-10-27,111450,113250,107000,107000,3889100,VIC
2025-10-28,106750,110300,99550,110050,5205500,VIC
2025-10-29,109500,109500,105950,106000,2739200,VIC
2025-10-30,105250,105900,100750,102050,3772500,VIC
2025-10-31,101000,101850,95500,95500,7461600,VIC
2025-11-03,95550,99750,93000,97700,3627000,VIC
2025-11-04,99000,102450,98050,100500,2514100,VIC
2025-11-05,100500,104000,99250,103250,2136600,VIC
2025-11-06,103000,105750,101900,103900,4605200,VIC
2025-11-07,102500,103950,99850,99850,3701700,VIC
2025-11-10,99400,102000,96650,99500,2785800,VIC
2025-11-11,99500,101950,99350,100500,4226300,VIC
2025-11-12,99800,105600,99800,105600,3885100,VIC
2025-11-13,105000,107900,104600,105600,3061500,VIC
2025-11-14,105400,105650,104050,105500,2083100,VIC
2025-11-17,106000,110550,106000,108500,3889800,VIC
2025-11-18,108500,110500,107750,110000,3027200,VIC
2025-11-19,110000,112500,109500,110250,2328900,VIC
2025-11-20,110450,115000,110000,114000,2828600,VIC
2025-11-21,113100,115550,111000,114850,2778400,VIC
2025-11-24,114650,121950,114650,119750,3203000,VIC
2025-11-25,121500,124400,120000,121500,3425500,VIC
2025-11-26,123500,123500,118750,122500,4196800,VIC
2025-11-27,123100,126550,122700,124000,2348000,VIC
2025-11-28,124100,131400,124100,130199,3844800,VIC
